"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"38379-24920","RB","Devonta","Devonta Freeman","Freeman","2.5999999046325684","1","6200","PHI@ATL","ATL","PHI","","","","",""
"38379-7659","QB","Ryan","Ryan Fitzpatrick","Fitzpatrick","11.199999809265137","1","6200","NE@MIA","MIA","NE","","","","",""
"38379-63043","WR","DJ","DJ Moore","Moore","9.100000381469727","1","6200","TB@CAR","CAR","TB","","","","",""
"38379-31394","WR","Jarvis","Jarvis Landry","Landry","9.699999809265137","1","6200","CLE@NYJ","CLE","NYJ","","","","",""
"38379-40845","TE","Hunter","Hunter Henry","Henry","8","1","6200","LAC@DET","LAC","DET","O","Knee","","",""
"38379-42028","WR","Will","Will Fuller V","Fuller V","7.900000095367432","1","6100","JAC@HOU","HOU","JAC","","","","",""
"38379-79974","RB","Tarik","Tarik Cohen","Cohen","8.899999618530273","1","6100","CHI@DEN","CHI","DEN","","","","",""
"38379-52436","TE","Mark","Mark Andrews","Andrews","20.799999237060547","1","6100","ARI@BAL","BAL","ARI","","","","",""
"38379-25837","RB","Duke","Duke Johnson","Johnson","11","1","6100","JAC@HOU","HOU","JAC","","","","",""
"38379-73048","WR","DK","DK Metcalf","Metcalf","10.899999618530273","1","6100","SEA@PIT","SEA","PIT","","","","",""
"38379-55165","RB","Justin","Justin Jackson","Jackson","6.599999904632568","1","6100","LAC@DET","LAC","DET","","","","",""
"38379-39829","WR","Mike","Mike Williams","Williams","3.9000000953674316","1","6100","LAC@DET","LAC","DET","Q","Knee","","",""
"38379-71706","TE","T.J.","T.J. Hockenson","Hockenson","22.100000381469727","1","6000","LAC@DET","DET","LAC","","","","",""
"38379-24607","QB","Chad","Chad Kelly","Kelly","-0.10000000149011612","1","6000","IND@TEN","IND","TEN","O","Suspension","","",""
"38379-63519","QB","Daniel","Daniel Jones","Jones","-0.8199999928474426","1","6000","BUF@NYG","NYG","BUF","","","","",""
"38379-14377","QB","Tyrod","Tyrod Taylor","Taylor","0","1","6000","LAC@DET","LAC","DET","","","","",""
"38379-30788","QB","Tyler","Tyler Bray","Bray","0","0","6000","CHI@DEN","CHI","DEN","","","","",""
"38379-52342","QB","Will","Will Grier","Grier","0","0","6000","TB@CAR","CAR","TB","","","","",""
"38379-63611","QB","Kyle","Kyle Shurmur","Shurmur","0","0","6000","KC@OAK","KC","OAK","","","","",""
"38379-83079","QB","Kyle","Kyle Lauletta","Lauletta","-1.2000000476837158","1","6000","PHI@ATL","PHI","ATL","","","","",""
"38379-52369","QB","Manny","Manny Wilkins","Wilkins","0","0","6000","MIN@GB","GB","MIN","","","","",""
"38379-27801","QB","Nate","Nate Sudfeld","Sudfeld","2.3399999141693115","2","6000","PHI@ATL","PHI","ATL","O","Wrist","","",""
"38379-57537","QB","DeShone","DeShone Kizer","Kizer","2.4600000381469727","3","6000","KC@OAK","OAK","KC","","","","",""
"38379-45259","QB","Logan","Logan Woodside","Woodside","0","0","6000","IND@TEN","TEN","IND","","","","",""
"38379-29915","QB","Brett","Brett Hundley","Hundley","0","0","6000","ARI@BAL","ARI","BAL","","","","",""
"38379-54507","QB","Alex","Alex McGough","McGough","0","0","6000","JAC@HOU","HOU","JAC","","","","",""
"38379-11500","QB","Colt","Colt McCoy","McCoy","10.06000010172526","3","6000","DAL@WAS","WAS","DAL","O","Lower leg","","",""
"38379-31047","QB","AJ","AJ McCarron","McCarron","0.05999999865889549","2","6000","JAC@HOU","HOU","JAC","","","","",""
"38379-27982","QB","Jake","Jake Rudock","Rudock","0","0","6000","NE@MIA","MIA","NE","","","","",""
"38379-27986","QB","C.J.","C.J. Beathard","Beathard","16.39600067138672","5","6000","SF@CIN","SF","CIN","","","","",""
"38379-53604","QB","Nick","Nick Fitzgerald","Fitzgerald","0","0","6000","TB@CAR","TB","CAR","","","","",""
"38379-52606","QB","David","David Blough","Blough","0","0","6000","LAC@DET","DET","LAC","","","","",""
"38379-103824","QB","Easton","Easton Stick","Stick","0","0","6000","LAC@DET","LAC","DET","","","","",""
"38379-32158","QB","Garrett","Garrett Gilbert","Gilbert","1.600000023841858","1","6000","CLE@NYJ","CLE","NYJ","","","","",""
"38379-60840","QB","Jake","Jake Browning","Browning","0","0","6000","MIN@GB","MIN","GB","","","","",""
"38379-21941","QB","Robert","Robert Griffin III","Griffin III","7.099999904632568","1","6000","ARI@BAL","BAL","ARI","","","","",""
"38379-21948","QB","Ryan","Ryan Tannehill","Tannehill","-0.20000000298023224","1","6000","IND@TEN","TEN","IND","","","","",""
"38379-31170","QB","Brandon","Brandon Allen","Allen","0","0","6000","CHI@DEN","DEN","CHI","","","","",""
"38379-40407","QB","Josh","Josh Dobbs","Dobbs","0.36400001049041747","5","6000","JAC@HOU","JAC","HOU","","","","",""
"38379-73183","QB","Dwayne","Dwayne Haskins Jr.","Haskins Jr.","0","0","6000","DAL@WAS","WAS","DAL","","","","",""
"38379-53729","QB","Mason","Mason Rudolph","Rudolph","0","0","6000","SEA@PIT","PIT","SEA","","","","",""
"38379-33259","QB","Teddy","Teddy Bridgewater","Bridgewater","2.055000066757202","4","6000","NO@LAR","NO","LAR","","","","",""
"38379-45565","QB","Taysom","Taysom Hill","Hill","8.199999809265137","1","6000","NO@LAR","NO","LAR","","","","",""
"38379-34308","QB","Blake","Blake Bortles","Bortles","14.170769324669472","13","6000","NO@LAR","LAR","NO","","","","",""
"38379-22027","QB","Nick","Nick Foles","Foles","7","1","6000","JAC@HOU","JAC","HOU","IR","Collarbone","","",""
"38379-60947","QB","Jarrett","Jarrett Stidham","Stidham","0","0","6000","NE@MIA","NE","MIA","","","","",""
"38379-6679","QB","Matt","Matt Schaub","Schaub","0.30000001192092896","2","6000","PHI@ATL","ATL","PHI","","","","",""
"38379-30231","QB","Jacoby","Jacoby Brissett","Brissett","16.5","1","6000","IND@TEN","IND","TEN","","","","",""
"38379-40482","QB","Tim","Tim Boyle","Boyle","0","0","6000","MIN@GB","GB","MIN","","","","",""
"38379-23075","QB","Alex","Alex Tanney","Tanney","0","0","6000","BUF@NYG","NYG","BUF","","","","",""
"38379-64051","QB","Drew","Drew Lock","Lock","0","0","6000","CHI@DEN","DEN","CHI","IR","Thumb","","",""
"38379-7744","QB","Drew","Drew Stanton","Stanton","0","0","6000","CLE@NYJ","CLE","NYJ","","","","",""
"38379-7761","TE","Jared","Jared Cook","Cook","4.699999809265137","1","6000","NO@LAR","NO","LAR","","","","",""
"38379-41562","QB","Nick","Nick Mullens","Mullens","16.684999465942383","8","6000","SF@CIN","SF","CIN","","","","",""
"38379-8803","QB","Chase","Chase Daniel","Daniel","8.050000190734863","4","6000","CHI@DEN","CHI","DEN","","","","",""
"38379-26251","WR","Robby","Robby Anderson","Anderson","3.799999952316284","1","6000","CLE@NYJ","NYJ","CLE","","","","",""
"38379-6803","QB","Josh","Josh McCown","McCown","6.190000057220459","4","6000","PHI@ATL","PHI","ATL","","","","",""
"38379-6808","QB","Matt","Matt Moore","Moore","-0.10000000149011612","1","6000","KC@OAK","KC","OAK","","","","",""
"38379-44715","QB","Cooper","Cooper Rush","Rush","0","0","6000","DAL@WAS","DAL","WAS","","","","",""
"38379-62133","QB","Chase","Chase Litton","Litton","0","0","6000","JAC@HOU","JAC","HOU","","","","",""
"38379-7872","QB","Brian","Brian Hoyer","Hoyer","-0.10399999618530273","5","6000","IND@TEN","IND","TEN","","","","",""
"38379-61157","QB","Brett","Brett Rypien","Rypien","0","0","6000","CHI@DEN","DEN","CHI","","","","",""
"38379-29445","QB","Sean","Sean Mannion","Mannion","0.006666666517655055","3","6000","MIN@GB","MIN","GB","","","","",""
"38379-28434","QB","Trevor","Trevor Siemian","Siemian","0","0","6000","CLE@NYJ","NYJ","CLE","","","","",""
"38379-46866","QB","Ryan","Ryan Finley","Finley","0","0","6000","SF@CIN","CIN","SF","","","","",""
"38379-25410","QB","Mike","Mike Glennon","Glennon","5.480000019073486","2","6000","KC@OAK","OAK","KC","","","","",""
"38379-27477","WR","Sterling","Sterling Shepard","Shepard","7.199999809265137","1","6000","BUF@NYG","NYG","BUF","Q","Concussion","","",""
"38379-8023","QB","Josh","Josh Johnson","Johnson","13.399999618530273","4","6000","LAC@DET","DET","LAC","","","","",""
"38379-104281","QB","Jake","Jake Dolegala","Dolegala","0","0","6000","SF@CIN","CIN","SF","","","","",""
"38379-41827","QB","Phillip","Phillip Walker","Walker","0","0","6000","IND@TEN","IND","TEN","","","","",""
"38379-53095","QB","Kyle","Kyle Allen","Allen","13.270000457763672","2","6000","TB@CAR","CAR","TB","","","","",""
"38379-55148","QB","Clayton","Clayton Thorson","Thorson","0","0","6000","DAL@WAS","DAL","WAS","","","","",""
"38379-14194","QB","Blaine","Blaine Gabbert","Gabbert","4.630000114440918","8","6000","TB@CAR","TB","CAR","O","Shoulder","","",""
"38379-26483","QB","Geno","Geno Smith","Smith","-0.3700000047683716","4","6000","SEA@PIT","SEA","PIT","","","","",""
"38379-39795","QB","Davis","Davis Webb","Webb","0","0","6000","BUF@NYG","BUF","NYG","","","","",""
"38379-56192","QB","John","John Wolford","Wolford","0","0","6000","NO@LAR","LAR","NO","","","","",""
"38379-62364","QB","Josh","Josh Rosen","Rosen","-0.800000011920929","1","6000","NE@MIA","MIA","NE","","","","",""
"38379-29605","QB","Matt","Matt Barkley","Barkley","17.079999923706055","1","6000","BUF@NYG","BUF","NYG","","","","",""
"38379-33702","QB","Ryan","Ryan Griffin","Griffin","0","0","6000","TB@CAR","TB","CAR","","","","",""
"38379-38837","QB","Danny","Danny Etling","Etling","0","0","6000","PHI@ATL","ATL","PHI","","","","",""
"38379-56286","QB","Trace","Trace McSorley","McSorley","0","0","6000","ARI@BAL","BAL","ARI","","","","",""
"38379-41966","QB","Luke","Luke Falk","Falk","0","0","6000","CLE@NYJ","NYJ","CLE","","","","",""
"38379-57403","WR","Courtland","Courtland Sutton","Sutton","15.5","1","5900","CHI@DEN","DEN","CHI","","","","",""
"38379-62535","WR","Tyrell","Tyrell Williams","Williams","19.5","1","5900","KC@OAK","OAK","KC","","","","",""
"38379-27776","RB","Tevin","Tevin Coleman","Coleman","6.599999904632568","1","5900","SF@CIN","SF","CIN","O","Ankle","","",""
"38379-60910","WR","Dede","Dede Westbrook","Westbrook","11.699999809265137","1","5900","JAC@HOU","JAC","HOU","","","","",""
"38379-34331","RB","Latavius","Latavius Murray","Murray","11.699999809265137","1","5900","NO@LAR","NO","LAR","","","","",""
"38379-55970","RB","Royce","Royce Freeman","Freeman","6.599999904632568","1","5900","CHI@DEN","DEN","CHI","","","","",""
"38379-6863","TE","Delanie","Delanie Walker","Walker","20","1","5900","IND@TEN","TEN","IND","","","","",""
"38379-55335","TE","David","David Njoku","Njoku","11.699999809265137","1","5800","CLE@NYJ","CLE","NYJ","","","","",""
"38379-40126","TE","Austin","Austin Hooper","Hooper","12.199999809265137","1","5800","PHI@ATL","ATL","PHI","","","","",""
"38379-73273","RB","David","David Montgomery","Montgomery","5","1","5800","CHI@DEN","CHI","DEN","","","","",""
"38379-6779","RB","LeSean","LeSean McCoy","McCoy","9.800000190734863","1","5800","KC@OAK","KC","OAK","","","","",""
"38379-60735","RB","Derrius","Derrius Guice","Guice","5.300000190734863","1","5700","DAL@WAS","WAS","DAL","D","Knee - meniscus","","",""
"38379-45439","WR","Corey","Corey Davis","Davis","0","1","5700","IND@TEN","TEN","IND","","","","",""
"38379-22103","WR","Marvin","Marvin Jones Jr.","Jones Jr.","8","1","5700","LAC@DET","DET","LAC","","","","",""
"38379-86687","WR","Marquise","Marquise Brown","Brown","28.700000762939453","1","5700","ARI@BAL","BAL","ARI","Q","Hip","","",""
