,Actual_Points,sdPts
546,4.0,0.9
564,0.0,0.7
567,9.9,0.6
568,1.0,0.9
590,0.0,0.6
606,11.7,1.0
635,5.1,0.9
636,6.6,0.5
639,4.1,1.2
641,10.3,0.6
645,3.4,0.8
650,2.8,0.4
655,1.6,0.5
667,1.3,0.3
673,6.0,1.3
681,1.3,0.2
691,3.6,0.6
697,1.0,0.6
713,1.8,0.9
717,2.0,0.7
719,2.6,0.4
721,10.9,0.6
725,0.0,0.5
728,1.3,0.6
743,26.0,1.7
745,2.0,0.4
793,0.0,0.6
819,0.0,0.5
846,0.0,0.3
863,0.5,0.3
884,1.3,0.6
903,2.1,0.6
926,0.0,0.5
939,0.4,0.2
941,0.0,0.4
970,1.4,0.2
973,3.0,0.4
974,0.0,0.4
976,0.0,0.6
981,1.1,0.2
989,0.0,0.3
1000,0.0,0.1
1004,0.0,0.3
1025,0.0,0.3
1041,0.0,0.2
1060,0.0,0.1
1078,0.0,0.3
65,7.4,1.5
70,1.1,2.1
81,5.3,1.8
91,4.9,2.1
94,4.8,1.5
95,12.6,1.9
116,28.1,2.7
141,12.7,1.8
275,14.5,1.6
277,5.3,1.8
309,0.0,0.6
347,13.0,0.7
376,15.0,0.6
401,4.7,0.5
445,3.7,1.0
460,3.2,0.5
492,1.2,0.3
493,3.6,0.9
522,11.8,0.5
524,2.0,0.8
531,2.1,0.5
540,2.7,0.6
542,1.3,1.3
565,0.0,0.6
580,1.5,0.6
591,2.3,0.5
602,0.0,0.9
611,14.3,0.9
613,6.1,0.6
617,0.0,0.6
623,6.6,0.6
624,9.4,0.6
625,0.0,1.3
635,2.5,0.5
642,0.6,0.5
652,0.0,0.4
655,7.9,0.2
688,1.0,0.7
691,1.7,0.8
701,10.3,0.5
718,0.0,1.1
745,1.2,0.6
760,0.0,0.5
768,5.4,0.5
804,1.4,0.3
813,0.7,0.5
824,1.4,0.4
833,0.0,0.3
855,3.5,0.4
857,0.0,0.6
868,0.0,0.5
902,3.2,0.1
921,3.2,0.4
935,0.8,0.3
943,0.0,0.2
946,0.6,0.2
952,0.7,0.7
966,0.0,0.1
970,0.0,0.2
971,0.0,0.1
972,0.0,0.2
973,0.0,0.4
976,0.0,0.2
984,0.0,0.3
999,0.0,0.3
89,15.5,1.8
95,14.3,1.5
96,8.1,1.9
101,12.0,1.5
102,11.6,1.8
134,6.7,1.7
199,3.0,1.1
251,3.5,1.7
334,2.5,0.8
336,2.3,0.7
383,4.1,0.9
398,2.6,0.8
410,4.7,1.1
411,3.4,0.7
443,16.8,0.7
460,0.0,0.9
461,3.2,0.7
466,20.8,0.9
477,5.4,1.1
503,0.0,0.8
550,5.1,0.6
556,2.1,0.4
558,2.1,0.6
561,2.0,0.8
570,8.1,0.8
589,10.4,0.7
599,1.5,0.5
625,2.2,0.6
629,1.3,1.0
640,1.2,0.3
695,1.6,0.9
699,2.8,1.2
700,3.5,0.3
702,4.2,1.0
711,0.9,0.6
726,0.4,0.5
731,22.6,0.6
733,1.6,0.4
735,10.3,0.7
750,1.6,0.3
759,2.0,0.4
761,0.0,0.5
764,1.4,0.6
778,1.1,0.7
784,0.0,0.4
804,5.8,0.6
840,10.3,0.3
874,0.0,0.5
878,1.5,0.2
904,0.0,0.2
910,0.0,0.3
913,0.0,0.5
915,0.0,0.3
918,2.3,0.4
930,1.1,0.4
949,2.2,0.5
964,0.0,0.5
971,0.0,0.5
989,0.0,0.2
994,0.0,0.3
997,0.0,0.4
1022,0.0,0.3
1029,0.0,0.3
1042,0.0,0.2
1070,0.0,0.3
1071,0.0,0.2
1074,0.0,0.2
1094,0.0,0.3
1116,0.0,0.3
1126,0.0,0.2
1127,0.0,0.1
1142,0.0,0.0
61,16.9,2.1
69,6.2,2.3
72,9.7,2.0
76,11.9,2.0
109,8.0,2.4
132,3.1,2.4
137,20.8,1.8
197,5.5,2.0
245,2.6,1.9
338,6.6,1.2
371,3.3,1.0
387,7.1,1.0
397,3.7,0.7
400,0.0,3.0
401,0.0,1.0
407,9.8,0.7
410,2.2,1.1
425,9.7,0.7
468,19.0,0.5
471,11.5,0.7
492,8.0,0.3
499,9.8,0.7
505,12.5,1.0
526,0.0,0.4
573,6.8,0.8
582,3.9,0.5
584,2.4,1.0
591,2.5,0.7
595,10.7,0.2
615,2.1,0.4
665,0.0,0.3
667,3.0,0.6
672,1.1,0.6
713,2.7,0.5
714,0.9,0.7
