,Actual_Points,sdPts
10,26.9,0.8
11,8.3,1.9
13,3.5,2.1
15,14.7,1.4
19,16.3,1.6
20,28.4,1.5
21,19.5,2.3
23,16.9,2.0
26,16.4,0.8
27,13.8,2.8
29,10.8,2.1
33,5.3,1.7
38,18.0,2.2
42,18.4,1.8
44,24.4,2.3
56,17.1,1.2
60,15.2,1.9
79,10.3,3.1
629,9.7,2.2

1,19.4,2.4
3,22.7,0.8
4,22.6,2.3
5,13.2,1.4
6,15.6,2.1
8,3.9,0.9
9,35.7,1.4
10,14.0,1.3
12,18.9,0.9
13,28.6,1.0
15,26.5,1.2
17,18.7,1.2
18,13.5,1.5
20,11.4,1.8
21,16.9,0.7
23,14.6,1.6
24,26.1,1.1
27,18.3,0.7
30,16.6,1.1
45,11.7,2.1
46,15.9,1.0
55,15.4,0.9
57,26.0,2.1
63,16.3,1.9
67,14.1,1.3
70,24.0,1.2
88,15.0,3.0
91,6.8,2.3
429,7.2,0.3

1,25.6,1.4
2,31.9,1.7
3,9.9,1.7
4,22.6,1.3
5,20.0,1.7
7,14.5,2.3
8,26.0,1.6
10,18.3,1.9
12,29.0,2.0
14,17.0,1.6
15,9.8,1.8
16,18.0,1.9
19,19.9,1.2
21,8.6,1.7
23,17.2,1.8
25,8.7,2.1
27,4.4,0.9
28,18.7,1.2
29,21.6,1.8
33,18.6,1.4
35,10.2,1.3
42,14.5,1.3
52,7.4,2.6
59,15.6,2.1
61,6.5,2.3
76,14.5,2.2
332,18.1,0.5
444,15.3,0.1

10,32.5,1.7
17,28.9,1.5
21,27.3,2.0
39,25.1,1.3
1,24.6,2.8
3,24.0,1.8
36,23.6,1.1
105,22.4,2.8
2,21.7,1.9
15,20.9,1.6
57,20.6,2.3
19,19.2,1.3
71,18.3,2.6
8,17.5,2.2
4,17.1,1.4
5,16.8,1.5
20,15.8,1.4
13,15.0,2.1
379,14.9,0.5
6,14.5,1.4
12,14.3,1.8
23,14.0,1.8
27,13.3,1.5
33,11.5,2.9
47,9.8,1.5
9,9.8,1.6
72,9.1,2.7
22,7.4,1.0
135,6.1,2.0
14,5.2,0.5
355,5.1,1.3
73,5.1,1.9

1,24.2,4.0
2,9.3,1.8
3,14.6,1.3
4,17.9,2.3
5,17.6,1.7
6,20.4,2.6
7,14.5,1.4
8,7.0,1.9
9,4.8,2.5
10,37.6,1.8
12,18.6,1.8
13,25.1,2.0
14,16.0,2.0
15,19.0,2.2
16,14.9,0.7
18,15.4,1.4
19,31.1,2.5
20,18.3,0.8
21,17.0,1.9
24,12.9,2.2
27,12.0,1.9
30,19.3,1.7
32,9.0,1.1
36,6.6,1.5
40,11.5,1.5
43,10.0,1.3
44,9.8,1.6
49,15.5,1.6
50,14.2,2.1
57,18.7,1.2
67,12.6,1.8
76,17.5,2.1

1,11.3,2.1
2,12.1,1.5
3,28.2,2.2
4,18.0,1.9
5,20.8,1.3
6,17.2,1.5
7,24.8,2.7
9,16.4,1.5
10,9.8,1.3
11,12.4,1.8
12,15.5,2.2
13,14.2,2.1
14,26.6,1.4
16,9.8,1.9
19,28.7,1.4
20,21.2,2.4
22,8.6,2.3
23,8.3,2.1
24,19.3,2.1
27,11.1,2.5
29,16.1,1.7
31,5.5,1.5
32,7.8,1.9
34,18.5,1.4
37,13.3,1.8
42,25.7,1.0
56,17.8,1.2
58,22.9,2.0
68,7.3,1.5
69,21.3,1.6
461,18.1,0.3
551,3.1,0.0

1,11.6,1.4
2,16.7,2.2
3,31.5,1.8
4,18.1,2.0
5,24.9,1.5
6,19.2,2.1
7,15.7,1.7
9,18.5,2.1
10,10.1,1.9
11,15.4,1.6
12,17.4,1.8
13,25.0,2.1
14,19.4,1.7
15,11.8,2.1
16,15.8,1.3
18,25.8,1.7
19,19.1,1.8
20,17.5,2.1
26,25.5,2.4
27,18.0,1.5
29,23.2,1.6
32,7.4,2.0
34,21.8,1.8
41,14.1,1.3
48,8.8,1.9
53,5.3,2.1
59,13.9,1.5
73,28.4,1.2
111,10.8,2.0
112,8.1,2.1
275,25.5,3.8

1,14.6,3.2
2,16.6,2.1
4,16.6,2.5
5,17.5,1.3
6,12.2,1.9
7,15.6,2.6
8,9.4,1.7
9,16.9,1.9
10,11.8,1.8
11,7.4,1.0
13,25.4,1.9
15,25.4,1.8
16,9.5,1.1
17,15.2,1.4
18,13.3,1.8
19,17.3,2.5
26,12.8,1.7
27,23.8,1.4
29,12.4,1.2
32,7.9,1.6
33,18.1,1.4
36,23.0,1.2
41,12.4,1.5
47,14.5,2.6
52,7.0,1.3
55,15.3,1.6
59,6.1,2.0
60,8.0,1.6
65,13.4,1.2
68,9.4,1.2
71,5.4,2.6
94,7.1,1.6

1,18.6,2.4
2,18.3,1.0
3,18.1,3.0
4,18.0,0.9
5,17.7,2.5
6,17.2,1.7
7,16.9,0.9
8,15.7,0.9
9,15.6,0.9
10,15.5,0.7
15,14.5,1.8
18,14.1,1.7
19,14.0,1.2
20,14.0,1.0
21,13.6,2.4
24,12.8,2.2
30,12.2,0.8
39,11.5,0.7
40,11.5,1.6
41,11.3,0.9
43,11.3,1.9
45,11.2,1.5
46,11.1,1.5
52,10.8,1.3
57,10.6,1.7
64,10.3,1.3
66,10.2,2.5
67,10.2,2.3
78,9.4,0.8
99,8.3,1.6
106,8.0,1.5
133,7.1,1.6

1,12.9,0.9
2,23.6,1.5
3,22.8,2.9
4,35.5,1.8
5,22.4,0.9
6,29.0,4.7
7,31.4,1.6
8,5.5,2.8
9,22.2,3.5
10,26.1,1.6
11,12.0,0.9
13,24.4,1.5
14,19.3,2.0
15,17.6,2.1
17,18.9,0.9
18,16.0,1.2
19,26.5,1.4
20,10.3,2.4
23,16.1,1.4
27,14.6,1.9
28,17.7,1.4
31,14.6,2.0
35,12.0,1.6
37,18.3,2.0
38,19.2,3.1
39,14.0,1.8
47,12.8,1.5
51,15.1,2.0
58,10.3,3.7
62,10.2,1.6
105,4.2,3.5
130,11.1,2.2

1,30.8,1.9
21,28.8,1.4
14,25.4,1.6
28,25.1,1.0
6,25.0,2.5
5,24.3,2.0
10,23.8,2.6
54,22.7,2.2
13,21.8,1.7
12,21.4,1.0
23,21.1,1.1
8,20.6,1.1
11,19.6,2.7
22,19.3,2.7
67,19.1,0.9
7,18.4,2.6
39,18.3,2.4
16,18.2,1.1
17,17.6,1.2
3,16.5,0.7
36,16.4,2.4
4,14.5,1.9
38,12.6,2.3
33,12.4,1.0
69,12.3,3.6
2,12.3,1.6
9,11.6,3.1
27,11.1,2.9
227,10.1,1.8
24,8.6,1.3
1243,4.9,0.2
25,3.6,1.1

228,29.0,3.7
12,27.5,1.1
6,26.9,2.6
13,26.5,1.2
3,26.4,1.3
28,23.5,1.5
44,21.0,2.4
7,21.0,1.9
9,19.9,1.9
14,19.3,1.0
62,18.4,4.5
22,17.4,1.0
2,16.1,2.1
11,16.0,0.8
89,14.9,5.1
112,14.7,2.3
17,14.5,3.2
4,14.2,2.6
1,14.0,1.3
24,13.8,1.1
20,13.2,1.2
10,12.9,2.6
5,11.4,3.0
41,11.2,1.6
