,Actual_Points,sdPts
667,6.7,0.7
721,3.4,0.4
745,12.6,0.9
759,3.1,0.5
831,4.7,0.4
1073,4.5,0.1

50,12.0,1.3
55,18.3,1.4
95,4.6,1.6
137,18.3,1.9
149,13.2,1.8
193,5.3,1.7
202,3.6,1.7
240,6.3,1.0
256,9.2,0.9
279,7.5,1.3
290,23.1,0.9
354,8.3,0.5
505,4.0,0.7
559,12.2,1.0
592,5.9,0.6
610,7.3,0.9
622,8.2,0.5
715,8.2,0.5
783,8.1,0.5
884,18.3,0.3
1097,4.5,0.2

51,16.9,1.5
66,10.6,1.5
109,8.2,1.8
111,11.2,1.3
132,15.4,1.8
143,5.8,1.6
176,3.3,0.8
198,14.8,1.0
233,5.9,1.2
250,6.2,1.4
266,7.3,1.0
318,11.0,1.1
324,13.6,1.1
376,16.0,1.1
466,8.1,1.0
472,5.1,0.5
527,6.9,0.8
578,3.4,0.7
592,16.9,1.3
594,5.1,0.2
663,9.9,0.9
713,3.6,0.3
737,4.9,0.7
768,9.8,0.7
897,9.1,0.2

47,25.4,1.5
84,18.8,1.7
113,13.5,1.9
126,19.3,1.3
134,16.6,1.5
151,3.8,1.9
169,7.3,2.3
212,9.8,0.7
260,4.0,1.7
266,5.4,0.8
295,5.6,0.7
417,8.2,1.1
492,8.7,0.8
504,14.2,0.7
543,19.3,0.7
545,6.5,0.4
560,6.3,1.0
615,8.3,0.5
645,7.2,0.7
668,3.8,0.2
676,3.1,0.5
693,10.3,0.6
698,5.0,0.6
708,4.9,0.8
836,7.5,0.4

49,23.7,1.1
117,7.9,1.9
147,10.6,1.7
167,10.3,1.0
194,6.3,1.8
216,10.2,1.6
244,7.6,0.9
250,4.7,0.8
286,16.6,0.7
362,5.6,0.7
366,4.0,0.3
446,7.4,0.6
509,18.4,0.6
535,4.4,1.2
598,8.0,0.9
607,9.3,0.9
622,16.5,1.0
653,3.7,0.4
728,3.6,0.5
786,5.2,0.4
807,5.6,0.3
827,3.5,0.5
894,6.9,0.6
895,5.9,0.4
1099,11.9,0.0

66,18.6,1.3
71,8.8,1.9
128,13.1,1.4
140,19.0,1.9
174,9.6,1.7
180,10.2,1.2
227,10.1,1.3
247,5.6,1.1
257,14.8,1.9
314,10.5,0.5
321,4.2,0.9
341,4.4,1.0
344,9.8,0.6
363,9.2,1.3
407,13.3,2.4
416,3.2,0.7
421,5.4,0.7
423,6.9,0.8
548,7.9,0.6
619,14.3,0.5
630,5.5,0.9
655,5.3,0.8
716,3.1,1.4
749,3.5,0.6
764,4.0,0.8
820,9.7,0.3
834,10.9,0.8
901,7.1,0.7
920,12.5,0.5
925,3.4,0.5
1086,7.2,0.4
1176,4.9,0.2
1253,3.7,0.1

44,32.8,1.5
75,12.8,1.3
90,10.2,1.2
92,4.1,1.8
95,10.0,1.8
145,19.5,1.7
210,5.1,1.3
242,4.1,2.2
333,5.3,0.5
340,4.8,1.7
365,12.9,0.6
411,9.0,0.9
416,4.1,0.8
474,5.8,0.7
488,3.9,0.4
514,6.2,0.6
515,6.2,0.6
615,6.2,0.5
680,10.7,0.7
806,11.4,0.6
866,11.7,1.5
910,7.5,0.8
1046,6.6,0.6
1099,11.0,0.3
1144,7.1,0.2

48,17.2,1.1
70,6.3,1.3
89,14.5,1.5
105,30.5,1.6
108,20.7,1.8
135,15.1,1.5
239,5.7,1.3
250,5.0,1.9
282,5.7,1.2
287,14.2,1.7
327,9.2,0.8
407,3.2,0.5
464,5.2,0.4
515,12.2,0.8
573,4.9,0.3
598,4.6,0.4
606,3.8,1.1
616,5.1,1.3
627,7.1,0.7
706,10.5,0.7
778,4.2,1.4
796,9.1,0.7
825,4.3,0.7
852,5.0,0.4
954,5.2,0.8
964,3.6,0.7
991,6.8,0.6
1051,9.9,0.7
1092,7.5,0.6

50,9.6,0.9
79,3.7,1.8
86,6.6,1.3
88,3.1,1.5
107,3.3,2.0
262,4.5,2.0
292,11.5,0.9
310,6.8,2.1
350,3.8,1.0
386,4.7,0.9
404,8.3,0.9
449,3.2,0.5
484,11.6,0.4
515,7.1,0.4
600,4.1,0.8
611,3.7,0.3
632,7.4,0.9
648,6.3,0.8
660,6.5,0.4
739,4.8,1.1
813,4.9,1.4
838,3.4,0.5
839,3.5,0.9
840,3.7,0.6
895,3.8,0.7
919,3.3,0.5
960,4.7,0.3
969,6.6,0.6
1046,9.4,0.9
1059,13.1,0.4
1220,11.5,0.2
1226,6.3,0.2
1244,7.0,0.2

48,7.9,1.2
98,4.3,1.5
99,10.9,1.4
111,29.0,1.2
262,17.2,2.1
275,14.3,1.4
276,14.8,1.9
354,4.6,1.1
400,4.9,0.8
411,5.4,0.9
423,28.7,0.7
463,5.5,0.5
490,12.8,0.3
514,12.9,0.4
529,6.9,0.5
640,15.3,0.7
645,8.1,0.7
693,9.4,0.3
803,3.2,0.8
851,4.3,0.6
877,3.6,0.3
914,9.3,0.9
947,9.9,0.6
955,5.5,0.6

28,8.7,4.9
69,25.4,4.5
113,18.6,3.9
120,4.3,3.7
165,3.4,1.6
223,3.9,3.1
282,7.7,2.9
332,9.2,2.2
333,3.6,2.3
338,4.9,3.3
341,5.4,2.2
342,14.6,1.1
453,5.8,1.8
480,7.4,1.9
598,33.4,0.4
602,12.3,1.5
652,4.1,0.9
654,5.8,0.6
665,3.8,0.8
